朝阳,育慧里一区,1室0厅,西,7,精装,有电梯,52,343,2001
朝阳,大西洋新城A区,2室2厅,南北,10,精装,有电梯,86,835,1999
朝阳,团结湖路,2室1厅,东西,6,精装,无电梯,65,430,1980
朝阳,尚家楼48号院,2室1厅,南北,12,精装,有电梯,75,610,1998
朝阳,望京西园一区,3室2厅,南北,6,精装,无电梯,115,710,1997
朝阳,安慧里四区,2室2厅,南西,20,精装,有电梯,71,545,1990
朝阳,泰华滨河苑,2室1厅,南北,18,精装,有电梯,105,670,2005
朝阳,北京香颂,3室2厅,南北,17,简装,有电梯,146,1200,2009
朝阳,京城雅居,3室2厅,南北,6,精装,无电梯,259,1295,2004
朝阳,一瓶四和院,5室2厅,西南,19,精装,有电梯,151,1500,2009
朝阳,东恒时代一期,3室2厅,西南,32,精装,有电梯,142,930,2003
朝阳,润泽悦溪,2室1厅,东西,11,简装,有电梯,86,665,2010
朝阳,潘家园小区,3室1厅,东西,6,简装,无电梯,83,490,1994
朝阳,东恒时代三期,2室2厅,西南,27,精装,有电梯,108,720,2008
朝阳,红玺台,3室2厅,南北,25,精装,有电梯,161,2400,2011
朝阳,九龙花园,2室2厅,西,22,其他,有电梯,109,720,2001
朝阳,兴隆家园,3室1厅,南北,6,精装,,116,696,2000
朝阳,北苑家园望春园,2室1厅,南北,14,精装,,108,680,2006
朝阳,远洋天地三期,1室1厅,西,14,精装,有电梯,73,580,2004
朝阳,华阳家园,2室1厅,东南,22,精装,有电梯,115,865,2002
朝阳,双龙南里,3室1厅,南北,18,简装,,72,409,1993
朝阳,华馨公寓,3室2厅,南北,13,简装,有电梯,176,1350,1999
朝阳,名人公寓,4室2厅,南,17,精装,,379,2000,2002
朝阳,双花园南里一区,3室1厅,东北,22,精装,有电梯,138,790,2000
朝阳,融科橄榄城二期,2室1厅,南,28,精装,有电梯,95,1000,2007
朝阳,芍药居2号院,3室2厅,南北,7,精装,无电梯,137,960,1999
朝阳,罗马花园,3室1厅,东,25,精装,有电梯,164,980,1995
朝阳,八里庄东里北巷,3室1厅,南北,5,简装,无电梯,68,392,1981
朝阳,扬州水乡,3室2厅,南北,3,简装,无电梯,164,820,2004
朝阳,双花园南里二区,3室1厅,西南,22,精装,有电梯,116,849,2002
海淀,学知轩,2室1厅,西南,21,精装,有电梯,89,600,2001
海淀,上林溪,1室0厅,南,11,精装,,44,380,2011
海淀,万泉新新商务花园,1室1厅,东,10,精装,有电梯,58,750,2003
海淀,碧森里,3室2厅,南北,9,简装,有电梯,132,1020,2004
海淀,庚坊国际,1室0厅,西,16,简装,,47,360,2005
海淀,远大园四区,3室2厅,南北,7,简装,有电梯,153,1900,2000
海淀,翠微路2号院,2室1厅,南北,5,简装,无电梯,47,476,1980
海淀,北蜂窝103号院,2室1厅,东西,6,其他,,57,446,1986
海淀,北洼路28号院,4室2厅,西北,18,简装,有电梯,177,1239,1996
海淀,长安山麓,3室3厅,南北,5,其他,有电梯,179,2000,2012
海淀,永安东里,2室1厅,东西,5,简装,无电梯,79,550,1998
海淀,金隅美和园,2室1厅,南北,9,精装,有电梯,82,560,2008
海淀,中鑫嘉园,1室1厅,西南,26,精装,有电梯,78,639,2004
海淀,骚子营,3室1厅,南北,6,精装,无电梯,68,550,1987
海淀,六建,3室1厅,南北,6,简装,无电梯,82,700,1992
海淀,美丽西园,2室1厅,南北,6,精装,无电梯,93,740,2002
